,months_as_customer,age,policy_number,policy_bind_date,policy_state,policy_csl,policy_deductible,policy_annual_premium,umbrella_limit,insured_sex,insured_education_level,insured_occupation,insured_hobbies,incident_date,incident_type,collision_type,incident_severity,authorities_contacted,incident_state,incident_city,incident_hour_of_the_day,number_of_vehicles_involved,bodily_injuries,witnesses,total_claim_amount,injury_claim,property_claim,vehicle_claim,auto_make,auto_year,fraud_reported
261,156,31,475588,1996-09-21,IL,100/300,2000,1134.08,0,MALE,PhD,other-service,reading,2015-02-07,Single Vehicle Collision,Front Collision,Major Damage,Police,NC,Arlington,3,1,2,0,59000,5900,5900,47200,Ford,2013,Y
262,232,43,751905,2001-05-16,OH,250/500,500,1483.91,8000000,MALE,College,machine-op-inspct,golf,2015-01-18,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,NY,Arlington,17,3,0,1,70600,7060,14120,49420,Volkswagen,2013,Y
263,244,40,226725,1999-08-11,IN,500/1000,2000,1304.67,7000000,MALE,Masters,armed-forces,base-jumping,2015-01-10,Multi-vehicle Collision,Side Collision,Minor Damage,Police,SC,Hillsdale,5,3,1,1,61490,5590,11180,44720,Dodge,2001,N
264,84,30,942504,2003-06-16,IL,500/1000,2000,1035.79,0,FEMALE,MD,protective-serv,kayaking,2015-01-30,Single Vehicle Collision,Side Collision,Minor Damage,Police,SC,Northbend,9,1,1,0,57640,5240,10480,41920,Volkswagen,2010,N
265,394,57,395572,1999-03-30,IL,250/500,500,1401.2,0,FEMALE,High School,craft-repair,movies,2015-01-25,Vehicle Theft,N/A,Trivial Damage,Police,NC,Hillsdale,9,1,1,0,6890,1060,1060,4770,Audi,1999,N
266,246,45,889883,1999-02-03,IL,250/500,1000,1665.45,0,MALE,JD,machine-op-inspct,hiking,2015-01-29,Multi-vehicle Collision,Side Collision,Major Damage,Fire,PA,Columbus,9,3,2,2,53280,11840,5920,35520,Toyota,2006,Y
267,35,29,818167,2011-08-25,IN,500/1000,2000,653.66,0,FEMALE,JD,handlers-cleaners,video-games,2015-02-24,Multi-vehicle Collision,Rear Collision,Minor Damage,Fire,SC,Springfield,22,3,0,0,78300,15660,7830,54810,BMW,2009,N
268,156,37,277767,2010-06-28,OH,100/300,500,1080.13,0,MALE,Associate,protective-serv,reading,2015-01-04,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,PA,Springfield,15,3,0,3,41490,4610,4610,32270,Nissan,2001,N
269,195,36,842618,2001-11-06,IN,100/300,2000,1346.18,0,FEMALE,Associate,machine-op-inspct,camping,2015-02-25,Multi-vehicle Collision,Front Collision,Total Loss,Fire,SC,Hillsdale,14,3,2,3,68970,12540,6270,50160,Chevrolet,2007,N
270,369,55,577810,2013-04-15,OH,250/500,2000,1589.54,0,MALE,College,handlers-cleaners,camping,2015-01-27,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,VA,Arlington,6,3,2,0,85300,17060,8530,59710,Toyota,2003,N
271,271,40,873114,1995-12-07,IL,100/300,1000,1251.65,0,FEMALE,Associate,other-service,camping,2015-02-19,Parked Car,N/A,Minor Damage,None,NY,Hillsdale,6,1,0,0,3080,560,280,2240,Audi,2012,N
272,332,47,994538,1991-11-01,IL,100/300,2000,1083.01,0,MALE,MD,craft-repair,paintball,2015-01-31,Multi-vehicle Collision,Front Collision,Major Damage,Police,WV,Arlington,22,4,2,0,71760,11040,11040,49680,Jeep,2010,Y
273,107,26,727792,2014-05-19,OH,100/300,500,974.59,0,FEMALE,JD,armed-forces,skydiving,2015-01-18,Multi-vehicle Collision,Rear Collision,Minor Damage,Ambulance,NY,Arlington,14,3,1,0,59700,11940,11940,35820,Nissan,2002,N
274,217,39,522506,1992-03-15,IL,500/1000,2000,1399.85,0,FEMALE,Masters,other-service,skydiving,2015-01-10,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,NY,Columbus,16,3,0,2,64920,10820,10820,43280,Ford,1997,N
275,243,43,367595,2006-02-03,IN,500/1000,500,1307.74,0,FEMALE,Associate,machine-op-inspct,board-games,2015-01-28,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,SC,Riverwood,10,3,0,1,37530,4170,4170,29190,Jeep,2008,N
276,296,42,586104,2003-03-16,IN,250/500,2000,1219.27,0,MALE,Associate,tech-support,paintball,2015-02-16,Multi-vehicle Collision,Side Collision,Total Loss,Ambulance,WV,Columbus,9,3,1,2,64080,7120,7120,49840,Saab,2012,N
277,264,41,424862,2002-10-16,OH,100/300,500,1411.3,0,MALE,PhD,prof-specialty,cross-fit,2015-02-08,Single Vehicle Collision,Rear Collision,Minor Damage,Other,PA,Northbrook,4,1,1,0,60390,10980,5490,43920,BMW,2004,Y
278,108,33,512813,1990-01-27,IL,100/300,2000,694.45,0,FEMALE,JD,armed-forces,exercise,2015-01-20,Multi-vehicle Collision,Side Collision,Major Damage,Police,WV,Northbend,6,3,0,1,64350,5850,11700,46800,Nissan,2011,Y
279,32,38,356768,2010-03-11,IL,100/300,500,1006.77,6000000,FEMALE,College,other-service,sleeping,2015-02-06,Multi-vehicle Collision,Side Collision,Minor Damage,Police,SC,Northbend,15,3,2,1,70900,14180,7090,49630,BMW,1997,N
280,259,39,330506,1995-09-19,OH,250/500,1000,1422.36,0,FEMALE,JD,craft-repair,movies,2015-01-24,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,PA,Columbus,12,3,1,3,46560,7760,7760,31040,Nissan,2012,N
281,186,33,779075,2010-02-27,IN,100/300,1000,1348.32,0,FEMALE,Associate,craft-repair,cross-fit,2015-01-14,Vehicle Theft,N/A,Trivial Damage,Police,NY,Arlington,3,1,2,1,4730,860,860,3010,Chevrolet,2013,Y
282,201,40,799501,1991-12-28,OH,250/500,2000,1315.56,0,FEMALE,PhD,transport-moving,video-games,2015-02-18,Vehicle Theft,N/A,Minor Damage,Police,SC,Northbrook,14,1,0,0,6820,1240,1240,4340,Jeep,2003,N
283,436,58,987905,2002-04-30,OH,250/500,2000,1407.01,5000000,MALE,PhD,tech-support,sleeping,2015-01-10,Single Vehicle Collision,Rear Collision,Major Damage,Police,WV,Riverwood,10,1,0,2,59900,11980,5990,41930,BMW,1997,Y
284,189,36,967756,2007-04-28,OH,250/500,2000,1388.58,0,FEMALE,MD,priv-house-serv,basketball,2015-02-13,Multi-vehicle Collision,Side Collision,Major Damage,Police,WV,Riverwood,17,3,1,3,79560,13260,13260,53040,Ford,2009,N
285,105,33,830414,1996-07-08,IL,500/1000,500,1310.76,0,FEMALE,High School,adm-clerical,kayaking,2015-02-17,Single Vehicle Collision,Front Collision,Total Loss,Other,VA,Northbrook,8,1,0,1,70290,12780,6390,51120,Accura,2008,N
286,163,31,127313,2002-04-01,IN,100/300,1000,1004.63,6000000,MALE,JD,priv-house-serv,hiking,2015-01-07,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,SC,Hillsdale,14,3,2,0,63910,5810,11620,46480,Suburu,1999,N
287,219,40,786957,2006-10-29,OH,100/300,500,1134.91,0,FEMALE,Associate,transport-moving,golf,2015-01-29,Vehicle Theft,N/A,Trivial Damage,None,SC,Riverwood,6,1,1,0,6400,640,640,5120,Toyota,1997,N
288,88,25,332892,2007-10-25,IN,250/500,1000,1194.0,0,FEMALE,JD,handlers-cleaners,movies,2015-02-13,Single Vehicle Collision,Rear Collision,Major Damage,Ambulance,SC,Northbrook,6,1,1,2,66780,7420,7420,51940,Ford,2013,Y
289,40,39,448642,2001-03-28,IN,500/1000,1000,1248.25,4000000,FEMALE,College,sales,hiking,2015-02-01,Parked Car,N/A,Minor Damage,Police,VA,Northbrook,8,1,0,2,8760,1460,1460,5840,BMW,2013,N
290,284,42,526039,1995-05-04,OH,100/300,500,1338.54,1000000,MALE,Associate,machine-op-inspct,kayaking,2015-01-29,Single Vehicle Collision,Side Collision,Major Damage,Ambulance,NC,Arlington,13,1,0,1,94160,8560,17120,68480,Chevrolet,1996,N
291,59,40,444422,2011-09-28,IL,250/500,2000,782.23,0,MALE,College,protective-serv,golf,2015-02-06,Multi-vehicle Collision,Front Collision,Total Loss,Ambulance,OH,Springfield,0,3,0,2,51570,5730,11460,34380,BMW,2010,N
292,39,31,689500,2003-01-28,IL,250/500,2000,1366.9,0,FEMALE,High School,handlers-cleaners,polo,2015-01-28,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,NC,Northbend,14,3,1,0,52700,10540,10540,31620,BMW,2014,Y
293,147,34,806081,2011-02-01,IL,500/1000,1000,1275.81,0,MALE,High School,sales,dancing,2015-01-21,Single Vehicle Collision,Side Collision,Minor Damage,Fire,NY,Columbus,13,1,2,2,101010,15540,15540,69930,Mercedes,1998,N
294,156,37,384618,1993-02-09,IN,250/500,500,1090.65,0,MALE,High School,exec-managerial,golf,2015-01-16,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,NC,Columbus,16,4,1,2,53400,5340,5340,42720,Honda,2010,Y
295,123,31,756459,2005-08-05,IN,250/500,500,1326.0,0,FEMALE,Associate,prof-specialty,basketball,2015-02-17,Single Vehicle Collision,Side Collision,Total Loss,Fire,SC,Northbrook,13,1,1,2,72120,12020,12020,48080,Mercedes,2009,N
296,231,43,655787,2006-06-17,IL,250/500,2000,972.47,0,MALE,College,protective-serv,reading,2015-02-01,Multi-vehicle Collision,Front Collision,Minor Damage,Police,PA,Hillsdale,15,3,2,2,77100,7710,15420,53970,Audi,2010,N
297,247,39,419954,1993-12-07,IL,100/300,500,806.31,0,FEMALE,College,handlers-cleaners,dancing,2015-02-25,Parked Car,N/A,Trivial Damage,Police,SC,Northbend,3,1,2,3,3300,600,0,2700,Dodge,2003,N
298,194,35,275092,2012-03-14,IL,500/1000,500,1416.24,0,FEMALE,MD,adm-clerical,golf,2015-02-26,Parked Car,N/A,Minor Damage,None,WV,Northbend,7,1,1,0,5940,1080,540,4320,Nissan,2003,N
299,119,27,515698,1997-08-05,IN,250/500,2000,1097.64,0,MALE,High School,transport-moving,video-games,2015-02-06,Multi-vehicle Collision,Rear Collision,Major Damage,Other,PA,Northbend,16,2,1,0,63720,7080,21240,35400,Accura,2006,N
300,259,43,132871,2009-07-05,IL,100/300,500,947.75,0,FEMALE,Masters,farming-fishing,base-jumping,2015-02-03,Vehicle Theft,N/A,Trivial Damage,Police,SC,Riverwood,15,1,1,3,7680,1280,640,5760,Audi,2008,N
301,107,31,714929,1994-11-25,IL,100/300,2000,1018.73,5000000,MALE,Associate,handlers-cleaners,yachting,2015-01-27,Multi-vehicle Collision,Side Collision,Total Loss,Police,NY,Riverwood,21,3,1,2,93730,14420,21630,57680,Honda,2001,N
302,48,44,297816,1997-02-03,IL,100/300,2000,1400.74,0,MALE,College,sales,base-jumping,2015-01-21,Multi-vehicle Collision,Rear Collision,Major Damage,Police,NC,Arlington,23,3,0,2,87300,17460,17460,52380,Jeep,2013,N
303,267,40,426708,2009-10-09,IL,250/500,500,1155.53,5000000,MALE,JD,transport-moving,camping,2015-01-24,Parked Car,N/A,Trivial Damage,Police,NY,Columbus,5,1,0,2,5670,1260,630,3780,Ford,1997,N
304,286,47,615047,2002-11-20,IN,250/500,500,1386.93,0,MALE,High School,priv-house-serv,bungie-jumping,2015-01-17,Multi-vehicle Collision,Rear Collision,Minor Damage,Other,NY,Springfield,15,3,0,0,65800,13160,6580,46060,Accura,2001,N
305,175,34,771236,1995-05-29,OH,100/300,500,915.29,0,FEMALE,JD,handlers-cleaners,base-jumping,2015-02-23,Single Vehicle Collision,Front Collision,Major Damage,Other,NY,Arlington,14,1,2,1,36720,4080,4080,28560,Honda,2009,Y
306,111,29,235869,2011-01-22,IL,250/500,500,1239.55,2000000,FEMALE,PhD,farming-fishing,kayaking,2015-01-09,Single Vehicle Collision,Side Collision,Major Damage,Fire,SC,Riverwood,1,1,1,1,52800,4800,9600,38400,Mercedes,1996,Y
307,151,37,931625,2012-10-18,IN,250/500,500,1366.42,0,FEMALE,Associate,protective-serv,cross-fit,2015-02-15,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,SC,Arlington,14,3,1,2,59100,5910,5910,47280,Nissan,1998,Y
308,156,37,371635,1991-10-13,OH,500/1000,1000,1086.48,6000000,MALE,Associate,machine-op-inspct,hiking,2015-01-16,Multi-vehicle Collision,Rear Collision,Total Loss,Other,NY,Northbrook,17,3,1,1,77440,14080,7040,56320,Suburu,1999,N
309,165,36,427199,2010-10-01,IL,250/500,2000,1247.87,0,MALE,Masters,armed-forces,golf,2015-01-14,Multi-vehicle Collision,Side Collision,Total Loss,Fire,NY,Northbend,20,3,2,2,45700,4570,4570,36560,BMW,2008,N
310,253,41,261315,2013-04-10,OH,100/300,2000,1312.75,0,FEMALE,PhD,sales,dancing,2015-01-01,Multi-vehicle Collision,Rear Collision,Major Damage,Other,SC,Springfield,10,3,2,2,80740,7340,14680,58720,Toyota,2014,Y
311,10,26,582973,2008-06-11,IN,100/300,2000,765.64,0,MALE,MD,sales,base-jumping,2015-02-16,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,SC,Northbrook,3,3,0,3,31350,2850,5700,22800,Honda,2001,Y
312,158,33,278091,2013-12-04,OH,100/300,2000,1327.41,0,FEMALE,Associate,handlers-cleaners,skydiving,2015-01-04,Single Vehicle Collision,Side Collision,Total Loss,Other,SC,Hillsdale,0,1,0,0,35000,3500,7000,24500,Suburu,2012,N
313,436,59,153154,2010-08-21,OH,500/1000,1000,1338.55,0,MALE,PhD,protective-serv,board-games,2015-01-12,Multi-vehicle Collision,Side Collision,Total Loss,Police,WV,Hillsdale,10,3,2,2,68000,13600,6800,47600,Toyota,2014,N
314,91,30,515217,2010-06-18,IL,250/500,2000,1316.63,8000000,FEMALE,Masters,machine-op-inspct,golf,2015-01-08,Multi-vehicle Collision,Side Collision,Minor Damage,Other,SC,Northbend,13,3,2,0,84500,13000,13000,58500,BMW,2009,N
315,256,42,860497,1992-04-10,IL,500/1000,1000,1286.44,0,FEMALE,MD,transport-moving,bungie-jumping,2015-01-22,Single Vehicle Collision,Rear Collision,Minor Damage,Police,WV,Northbend,14,1,2,1,75500,7550,15100,52850,Nissan,1998,N
316,274,46,351741,1997-02-03,OH,500/1000,1000,1372.18,0,MALE,High School,exec-managerial,bungie-jumping,2015-01-13,Multi-vehicle Collision,Side Collision,Total Loss,Other,WV,Riverwood,22,3,1,3,90600,15100,15100,60400,BMW,2009,N
317,275,45,403737,1991-12-06,IN,500/1000,2000,1447.77,0,FEMALE,Associate,adm-clerical,camping,2015-01-18,Multi-vehicle Collision,Side Collision,Total Loss,Ambulance,VA,Northbend,8,3,1,1,64320,5360,10720,48240,Accura,1998,N
318,1,33,162004,1995-09-19,IL,250/500,500,903.32,0,FEMALE,High School,transport-moving,yachting,2015-01-19,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,NY,Northbend,1,3,1,0,31700,6340,3170,22190,Toyota,2006,N
319,85,30,740384,1993-10-29,IN,500/1000,1000,1454.42,0,MALE,Associate,protective-serv,reading,2015-01-31,Single Vehicle Collision,Side Collision,Major Damage,Other,NY,Springfield,19,1,0,1,74280,12380,12380,49520,Suburu,2006,Y
320,233,37,876714,1991-11-03,IL,100/300,2000,1603.42,0,FEMALE,High School,sales,video-games,2015-02-06,Single Vehicle Collision,Front Collision,Total Loss,Fire,NY,Columbus,17,1,0,2,80520,13420,6710,60390,Toyota,2005,N
321,142,30,951543,2002-07-09,IN,250/500,2000,1616.58,0,MALE,JD,adm-clerical,polo,2015-02-04,Multi-vehicle Collision,Rear Collision,Major Damage,Other,SC,Hillsdale,13,3,0,3,63600,6360,12720,44520,Dodge,2010,N
322,266,44,576723,1999-12-07,IL,250/500,500,1611.83,0,MALE,High School,handlers-cleaners,movies,2015-01-02,Single Vehicle Collision,Front Collision,Total Loss,Police,WV,Riverwood,4,1,1,2,32800,3280,3280,26240,BMW,2012,N
323,350,50,391003,2005-07-01,OH,500/1000,500,889.13,0,FEMALE,Masters,priv-house-serv,board-games,2015-02-26,Multi-vehicle Collision,Rear Collision,Total Loss,Police,PA,Northbend,14,3,0,2,44190,9820,4910,29460,Audi,2015,N
324,97,26,225865,1991-11-04,IL,250/500,1000,1252.08,0,MALE,College,exec-managerial,sleeping,2015-02-08,Multi-vehicle Collision,Rear Collision,Major Damage,Other,VA,Springfield,4,2,2,2,50400,10080,5040,35280,Honda,2000,Y
325,399,55,984948,1993-04-14,IL,500/1000,2000,995.56,0,MALE,JD,tech-support,sleeping,2015-02-07,Multi-vehicle Collision,Side Collision,Total Loss,Police,NY,Northbend,23,3,1,1,88400,17680,8840,61880,Nissan,2010,N
326,305,49,890328,2009-08-23,IL,100/300,2000,1347.92,0,FEMALE,High School,farming-fishing,bungie-jumping,2015-02-17,Multi-vehicle Collision,Front Collision,Total Loss,Fire,NY,Hillsdale,21,3,0,2,66550,12100,6050,48400,Volkswagen,2003,N
327,276,47,803294,1993-06-18,IN,100/300,1000,1724.09,0,MALE,PhD,craft-repair,yachting,2015-01-12,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,NY,Arlington,23,3,0,0,65780,5980,11960,47840,Chevrolet,2014,N
328,257,40,414913,2012-07-17,IN,250/500,500,1379.93,0,MALE,MD,armed-forces,base-jumping,2015-02-01,Multi-vehicle Collision,Side Collision,Major Damage,Other,NY,Columbus,6,3,0,2,51810,9420,4710,37680,Audi,2002,Y
329,78,31,414519,1999-01-25,IN,250/500,1000,1554.64,4000000,MALE,PhD,protective-serv,board-games,2015-02-03,Single Vehicle Collision,Front Collision,Major Damage,Other,WV,Springfield,21,1,1,0,55660,5060,10120,40480,Honda,2009,Y
330,129,28,818413,1990-02-23,OH,500/1000,1000,1377.94,0,MALE,Masters,machine-op-inspct,base-jumping,2015-02-21,Single Vehicle Collision,Side Collision,Major Damage,Fire,NY,Springfield,23,1,2,3,44640,9920,4960,29760,Toyota,2005,N
331,283,46,487356,2000-08-30,IL,500/1000,2000,1313.33,0,FEMALE,PhD,transport-moving,reading,2015-01-09,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,NY,Riverwood,3,3,1,3,77660,7060,14120,56480,Nissan,2004,Y
332,85,25,159768,2008-09-03,IN,250/500,500,1259.02,0,FEMALE,JD,tech-support,base-jumping,2015-02-16,Parked Car,N/A,Trivial Damage,None,SC,Northbend,8,1,2,2,5640,940,940,3760,Nissan,2005,N
333,101,26,865839,1991-08-02,IL,500/1000,1000,1371.88,0,FEMALE,MD,prof-specialty,reading,2015-02-04,Parked Car,N/A,Trivial Damage,None,VA,Arlington,4,1,2,2,3190,580,580,2030,Suburu,1995,N
334,96,30,406567,2001-09-25,OH,100/300,500,1399.27,6000000,MALE,College,prof-specialty,hiking,2015-02-24,Single Vehicle Collision,Side Collision,Total Loss,Fire,NC,Arlington,22,1,0,0,53440,0,6680,46760,Ford,2004,N
335,121,31,623032,2007-03-11,IL,500/1000,1000,1061.98,6000000,FEMALE,JD,armed-forces,camping,2015-02-01,Single Vehicle Collision,Rear Collision,Minor Damage,Police,WV,Hillsdale,16,1,0,1,65250,7250,7250,50750,BMW,2002,N
336,176,39,935442,2010-11-20,OH,250/500,500,1365.46,4000000,MALE,College,armed-forces,sleeping,2015-02-05,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,SC,Columbus,14,3,2,1,44280,4920,4920,34440,Chevrolet,2008,N
337,159,37,106873,1998-08-28,IL,500/1000,1000,894.4,0,MALE,Associate,tech-support,camping,2015-01-07,Single Vehicle Collision,Rear Collision,Total Loss,Police,NY,Springfield,13,1,2,0,70290,7810,7810,54670,Dodge,1999,N
338,120,30,563878,2002-07-16,IN,250/500,500,956.69,0,FEMALE,Associate,priv-house-serv,movies,2015-02-06,Single Vehicle Collision,Front Collision,Minor Damage,Other,NY,Hillsdale,20,1,1,1,87100,8710,8710,69680,Saab,2000,N
339,212,35,620855,1990-04-29,IN,500/1000,2000,1123.89,0,MALE,MD,priv-house-serv,video-games,2015-01-21,Multi-vehicle Collision,Front Collision,Total Loss,Fire,NY,Columbus,0,3,1,3,50380,4580,4580,41220,Suburu,1996,N
340,290,45,583169,1998-02-01,IL,100/300,500,1085.03,0,FEMALE,JD,sales,cross-fit,2015-03-01,Multi-vehicle Collision,Side Collision,Total Loss,Police,VA,Arlington,23,3,2,2,64800,12960,6480,45360,Audi,2014,Y
341,299,42,337677,2008-07-20,OH,100/300,2000,1437.33,0,FEMALE,Associate,craft-repair,movies,2015-02-24,Single Vehicle Collision,Rear Collision,Minor Damage,Other,SC,Columbus,13,1,1,3,70400,12800,12800,44800,BMW,2000,N
342,66,26,445973,1998-11-13,IL,250/500,1000,988.29,0,MALE,College,armed-forces,skydiving,2015-02-02,Single Vehicle Collision,Rear Collision,Major Damage,Police,NY,Northbend,8,1,2,2,57860,0,10520,47340,Suburu,2008,Y
343,334,47,156694,2001-05-24,IL,500/1000,500,1238.89,0,MALE,Masters,protective-serv,sleeping,2015-01-31,Vehicle Theft,N/A,Minor Damage,None,WV,Northbend,3,1,0,3,6240,960,960,4320,Ford,2011,N
344,216,38,421940,2014-06-03,IN,100/300,1000,1384.64,5000000,FEMALE,Associate,tech-support,board-games,2015-01-09,Single Vehicle Collision,Rear Collision,Total Loss,Police,VA,Columbus,16,1,2,3,66600,16650,11100,38850,Jeep,2012,Y
345,86,28,613226,1991-08-22,IN,100/300,2000,1595.07,0,MALE,PhD,transport-moving,hiking,2015-02-23,Single Vehicle Collision,Side Collision,Minor Damage,Police,VA,Hillsdale,19,1,0,2,70920,11820,11820,47280,Jeep,2002,N
346,429,56,804410,1998-12-12,OH,250/500,1000,1127.89,6000000,MALE,Associate,machine-op-inspct,skydiving,2015-01-28,Single Vehicle Collision,Rear Collision,Minor Damage,Ambulance,WV,Springfield,0,1,2,0,39480,6580,6580,26320,Suburu,2002,N
347,257,43,553565,1999-02-18,IN,500/1000,2000,929.7,6000000,FEMALE,PhD,handlers-cleaners,base-jumping,2015-01-14,Single Vehicle Collision,Front Collision,Total Loss,Other,VA,Arlington,12,1,2,2,63240,10540,5270,47430,Mercedes,2005,N
348,15,34,399524,1997-10-30,IL,100/300,1000,1829.63,0,MALE,JD,tech-support,cross-fit,2015-02-03,Multi-vehicle Collision,Side Collision,Total Loss,Other,SC,Arlington,21,3,1,0,67650,12300,6150,49200,Audi,2009,N
349,230,39,331595,1999-11-29,IL,100/300,1000,904.7,7000000,FEMALE,MD,craft-repair,bungie-jumping,2015-02-17,Single Vehicle Collision,Front Collision,Major Damage,Fire,SC,Riverwood,0,1,1,3,74200,14840,14840,44520,Accura,2002,Y
350,250,43,380067,2013-07-07,OH,500/1000,1000,1243.84,0,FEMALE,JD,tech-support,polo,2015-01-30,Single Vehicle Collision,Side Collision,Minor Damage,Other,VA,Columbus,22,1,1,3,64900,12980,12980,38940,Volkswagen,2011,N
351,270,44,701521,2003-07-05,IL,500/1000,2000,1030.95,0,FEMALE,Associate,machine-op-inspct,paintball,2015-02-03,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,NC,Northbend,20,3,1,0,35900,7180,3590,25130,Audi,2007,Y
352,65,26,360770,2005-09-21,IN,100/300,500,1285.03,3000000,FEMALE,High School,craft-repair,camping,2015-02-03,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,VA,Riverwood,0,1,1,3,52200,5220,10440,36540,Honda,2011,N
353,475,57,958785,1995-02-18,OH,100/300,500,1216.56,0,MALE,Masters,adm-clerical,skydiving,2015-01-31,Single Vehicle Collision,Front Collision,Minor Damage,Police,SC,Hillsdale,20,1,0,2,78000,6500,13000,58500,Suburu,2000,N
354,77,27,797934,1999-04-07,IN,500/1000,2000,966.26,0,FEMALE,High School,adm-clerical,base-jumping,2015-02-06,Multi-vehicle Collision,Front Collision,Minor Damage,Ambulance,NY,Springfield,1,3,0,0,67200,6720,6720,53760,Volkswagen,1995,N
355,256,43,883980,2014-12-13,OH,100/300,500,1203.17,0,FEMALE,MD,prof-specialty,golf,2015-02-06,Single Vehicle Collision,Rear Collision,Total Loss,Fire,WV,Hillsdale,11,1,0,0,63250,11500,5750,46000,Nissan,1997,N
356,229,37,340614,1997-06-01,IL,250/500,2000,1212.12,0,FEMALE,MD,craft-repair,paintball,2015-01-29,Multi-vehicle Collision,Side Collision,Major Damage,Other,WV,Columbus,14,3,1,1,68760,11460,5730,51570,Ford,1995,N
357,110,28,435784,2013-07-13,OH,250/500,1000,1573.93,0,MALE,College,other-service,movies,2015-01-07,Multi-vehicle Collision,Side Collision,Minor Damage,Police,NY,Springfield,20,3,0,2,65040,10840,10840,43360,Suburu,2010,N
358,177,33,563837,2002-12-30,IL,100/300,1000,1609.67,0,MALE,College,adm-clerical,yachting,2015-01-20,Single Vehicle Collision,Side Collision,Major Damage,Ambulance,SC,Springfield,22,1,1,3,82800,20700,13800,48300,Jeep,2004,Y
359,292,44,200827,1997-02-28,OH,500/1000,500,1097.57,0,MALE,PhD,priv-house-serv,basketball,2015-02-28,Single Vehicle Collision,Side Collision,Total Loss,Other,SC,Columbus,12,1,1,0,61700,6170,6170,49360,Saab,2005,N
360,451,61,533941,1998-06-18,IN,250/500,2000,1618.65,2000000,FEMALE,Associate,transport-moving,polo,2015-02-04,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,OH,Columbus,3,3,2,1,78100,15620,7810,54670,Chevrolet,1997,Y
361,61,24,265026,1996-02-08,IN,100/300,500,922.67,0,FEMALE,College,priv-house-serv,paintball,2015-01-12,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,SC,Northbend,15,3,2,1,65520,9360,9360,46800,Toyota,2011,Y
362,150,30,354481,2004-11-17,IN,100/300,1000,1342.02,0,MALE,MD,prof-specialty,polo,2015-02-28,Parked Car,N/A,Trivial Damage,None,VA,Arlington,8,1,0,2,4500,450,450,3600,Saab,1999,N
363,283,41,566720,2012-10-25,OH,100/300,500,1195.01,0,FEMALE,Associate,sales,reading,2015-01-08,Multi-vehicle Collision,Side Collision,Major Damage,Other,WV,Northbend,13,3,0,2,42700,0,6100,36600,Mercedes,2011,Y
364,291,46,832746,2006-04-13,OH,500/1000,1000,994.74,0,FEMALE,High School,adm-clerical,polo,2015-01-25,Parked Car,N/A,Minor Damage,Police,SC,Hillsdale,8,1,2,2,5580,620,620,4340,Volkswagen,2005,Y
365,162,31,386690,2006-02-21,IN,100/300,1000,1050.24,0,FEMALE,Masters,adm-clerical,chess,2015-02-26,Parked Car,N/A,Minor Damage,None,NC,Arlington,7,1,0,0,3600,360,720,2520,BMW,2013,Y
366,154,36,979285,2003-12-17,IL,250/500,2000,1313.51,7000000,FEMALE,Masters,exec-managerial,dancing,2015-02-03,Vehicle Theft,N/A,Trivial Damage,None,SC,Northbrook,9,1,2,0,2800,280,280,2240,Volkswagen,2015,N
367,289,47,594722,1999-07-31,OH,500/1000,2000,1102.29,0,FEMALE,Associate,adm-clerical,hiking,2015-01-31,Single Vehicle Collision,Front Collision,Minor Damage,Ambulance,VA,Northbend,15,1,1,0,54000,6000,6000,42000,Toyota,1996,N
368,10,19,216738,2014-08-05,IN,250/500,1000,1185.78,0,FEMALE,JD,craft-repair,yachting,2015-02-01,Single Vehicle Collision,Side Collision,Minor Damage,Police,NC,Northbend,5,1,0,2,48950,4450,8900,35600,Accura,2011,Y
369,309,47,369048,2011-06-05,IL,500/1000,500,1527.95,0,MALE,PhD,exec-managerial,hiking,2015-02-21,Multi-vehicle Collision,Rear Collision,Major Damage,Other,WV,Northbend,15,4,0,1,77800,15560,15560,46680,Dodge,2002,N
370,396,57,514424,1992-10-11,IN,100/300,1000,1366.39,0,MALE,High School,protective-serv,exercise,2015-01-30,Multi-vehicle Collision,Front Collision,Major Damage,Other,NC,Columbus,22,3,2,1,52560,11680,5840,35040,Saab,1995,N
